MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
11.42857143,8.888888889,7.272727273,1.571428571,1.222222222,1.222222222,0.181818182,0.222222222,1.285714286,0.111111111,0.111111111,0.090909091,1.0,0.818181818
28.5,28.5,8.142857143,3.5,3.5,3.5,0.714285714,2.5,1.0,1.0,1.5,0.428571429,4.0,1.142857143
9.833333333,11.8,9.833333333,1.0,1.2,1.2,0.166666667,0.2,0.833333333,0.2,0.6,0.5,2.2,1.833333333
35.0,35.0,23.33333333,1.5,2.5,1.5,0.333333333,0.5,1.0,0.5,1.5,1.0,6.0,4.0
31.0,31.0,10.33333333,3.0,3.0,3.0,0.333333333,1.0,1.0,1.0,2.0,0.666666667,8.0,2.666666667
61.0,30.5,8.714285714,7.0,4.5,3.5,0.714285714,2.5,2.0,1.0,0.0,0.0,4.5,1.285714286
34.0,34.0,11.33333333,3.0,4.0,3.0,0.666666667,2.0,1.0,0.5,2.0,0.666666667,3.5,1.166666667
18.5,18.5,18.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,3.0,3.0
25.8,25.8,12.9,2.0,2.0,2.0,0.5,1.0,1.0,0.6,0.6,0.3,3.8,1.9
11.6,11.6,9.666666667,1.2,1.4,1.2,0.166666667,0.2,1.0,0.2,0.4,0.333333333,2.2,1.833333333
20.75,20.75,16.6,1.25,1.25,1.25,0.2,0.25,1.0,0.25,0.75,0.6,3.5,2.8
23.0,23.0,8.625,2.666666667,3.333333333,2.666666667,0.625,1.666666667,1.0,0.666666667,0.666666667,0.25,3.0,1.125
15.4,15.4,9.625,1.6,1.8,1.6,0.25,0.4,1.0,0.4,1.0,0.625,2.0,1.25
15.0,15.0,9.0,1.666666667,1.666666667,1.666666667,0.4,0.666666667,1.0,0.333333333,0.666666667,0.4,2.666666667,1.6
22.0,22.0,11.0,2.0,2.333333333,2.0,0.5,1.0,1.0,1.0,1.0,0.5,4.333333333,2.166666667
30.25,24.2,12.1,2.5,3.2,2.0,0.5,1.0,1.25,0.8,1.2,0.6,3.6,1.8
19.0,19.0,11.875,1.6,1.8,1.6,0.375,0.6,1.0,0.4,1.0,0.625,2.6,1.625
21.0,21.0,17.5,1.2,1.4,1.2,0.166666667,0.2,1.0,0.2,0.6,0.5,3.6,3.0
64.0,64.0,6.4,10.0,11.0,10.0,0.4,4.0,1.0,1.0,0.0,0.0,8.0,0.8
58.0,29.0,6.444444444,9.0,5.5,4.5,0.777777778,3.5,2.0,1.0,1.0,0.222222222,4.5,1.0
22.0,33.0,13.2,1.666666667,2.5,2.5,0.4,1.0,0.666666667,0.0,1.0,0.4,4.5,1.8
39.0,39.0,13.0,3.0,3.0,3.0,0.666666667,2.0,1.0,1.0,1.0,0.333333333,8.0,2.666666667
16.16666667,13.85714286,8.818181818,1.833333333,1.571428571,1.571428571,0.363636364,0.571428571,1.166666667,0.428571429,1.0,0.636363636,2.142857143,1.363636364
60.0,60.0,15.0,4.0,5.5,4.0,0.125,0.5,1.0,0.5,2.5,0.625,11.5,2.875
38.0,38.0,7.6,5.0,5.0,5.0,0.8,4.0,1.0,1.0,0.0,0.0,7.0,1.4
63.0,31.5,12.6,5.0,3.0,2.5,0.0,0.0,2.0,0.0,1.0,0.4,5.0,2.0
10.5,10.5,10.5,1.0,1.333333333,1.0,0.166666667,0.166666667,1.0,0.166666667,0.166666667,0.166666667,1.166666667,1.166666667
41.0,27.33333333,10.25,4.0,2.666666667,2.666666667,0.625,1.666666667,1.5,0.666666667,0.666666667,0.25,4.666666667,1.75
20.83333333,15.625,11.36363636,1.833333333,2.125,1.375,0.181818182,0.25,1.333333333,0.25,0.5,0.363636364,1.625,1.181818182
41.0,41.0,8.2,5.0,5.0,5.0,0.8,4.0,1.0,1.0,1.0,0.2,6.0,1.2
31.0,20.66666667,20.66666667,1.5,1.666666667,1.0,0.333333333,0.333333333,1.5,0.333333333,0.333333333,0.333333333,2.666666667,2.666666667
40.33333333,40.33333333,9.307692308,4.333333333,6.333333333,4.333333333,0.538461538,2.333333333,1.0,1.0,0.333333333,0.076923077,5.333333333,1.230769231
22.0,22.0,11.0,2.0,2.5,2.0,0.0,0.0,1.0,0.0,1.5,0.75,2.5,1.25
41.0,41.0,10.25,4.0,5.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,5.0,1.25
82.0,82.0,8.2,10.0,14.0,10.0,0.5,5.0,1.0,1.0,1.0,0.1,9.0,0.9
41.5,20.75,11.85714286,3.5,2.25,1.75,0.428571429,0.75,2.0,0.25,0.25,0.142857143,2.75,1.571428571
58.0,19.33333333,7.25,8.0,3.0,2.666666667,0.625,1.666666667,3.0,0.666666667,0.333333333,0.125,2.666666667,1.0
14.0,14.0,7.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,3.0,1.5
41.5,41.5,11.85714286,3.5,4.5,3.5,0.714285714,2.5,1.0,1.0,2.0,0.571428571,6.5,1.857142857
14.5,19.33333333,11.6,1.25,2.0,1.666666667,0.4,0.666666667,0.75,0.666666667,1.0,0.6,3.0,1.8
31.0,19.92857143,9.3,3.333333333,2.857142857,2.142857143,0.5,1.071428571,1.555555556,0.571428571,0.285714286,0.133333333,3.071428571,1.433333333
84.0,84.0,9.333333333,9.0,10.0,9.0,0.888888889,8.0,1.0,1.0,4.0,0.444444444,15.0,1.666666667
34.0,34.0,22.66666667,1.5,4.0,1.5,0.666666667,1.0,1.0,1.0,0.5,0.333333333,3.5,2.333333333
39.0,13.0,5.571428571,7.0,3.0,2.333333333,0.571428571,1.333333333,3.0,1.0,0.0,0.0,1.333333333,0.571428571
44.0,14.66666667,14.66666667,3.0,1.333333333,1.0,0.0,0.0,3.0,0.0,0.333333333,0.333333333,2.333333333,2.333333333
79.0,19.75,8.777777778,9.0,2.5,2.25,0.555555556,1.25,4.0,0.75,0.75,0.333333333,3.5,1.555555556
51.0,25.5,8.5,6.0,3.0,3.0,0.666666667,2.0,2.0,0.5,0.0,0.0,3.0,1.0
19.8,24.75,9.9,2.0,2.75,2.5,0.5,1.25,0.8,0.25,1.0,0.4,3.25,1.3
14.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
24.0,12.0,12.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0
19.0,19.0,11.4,1.666666667,2.0,1.666666667,0.4,0.666666667,1.0,0.666666667,1.0,0.6,2.666666667,1.6
19.5,26.0,19.5,1.0,1.333333333,1.333333333,0.25,0.333333333,0.75,0.333333333,1.666666667,1.25,4.333333333,3.25
32.0,32.0,8.0,4.0,5.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,6.0,1.5
16.75,13.4,8.375,2.0,1.6,1.6,0.375,0.6,1.25,0.6,0.2,0.125,1.6,1.0
31.0,15.5,7.75,4.0,2.0,2.0,0.5,1.0,2.0,1.0,1.5,0.75,2.5,1.25
16.8,16.8,10.5,1.6,2.4,1.6,0.25,0.4,1.0,0.4,1.4,0.875,2.0,1.25
19.91666667,18.38461538,7.966666667,2.5,2.692307692,2.307692308,0.566666667,1.307692308,1.083333333,0.846153846,0.538461538,0.233333333,2.461538462,1.066666667
9.666666667,9.666666667,9.666666667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.333333333,0.333333333,1.333333333,1.333333333
15.5,15.5,8.454545455,1.833333333,1.833333333,1.833333333,0.454545455,0.833333333,1.0,0.5,0.5,0.272727273,2.5,1.363636364
22.0,22.0,8.8,2.5,3.0,2.5,0.6,1.5,1.0,0.5,0.5,0.2,4.5,1.8
15.4,15.4,12.83333333,1.2,1.4,1.2,0.166666667,0.2,1.0,0.2,1.0,0.833333333,1.2,1.0
82.0,27.33333333,16.4,5.0,2.333333333,1.666666667,0.4,0.666666667,3.0,1.0,0.333333333,0.2,4.0,2.4
27.0,27.0,27.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.5,1.5
24.75,24.75,14.14285714,1.75,2.0,1.75,0.428571429,0.75,1.0,0.75,1.5,0.857142857,3.75,2.142857143
37.0,37.0,10.57142857,3.5,3.5,3.5,0.714285714,2.5,1.0,0.5,3.0,0.857142857,5.5,1.571428571
29.5,29.5,19.66666667,1.5,1.5,1.5,0.333333333,0.5,1.0,0.5,1.0,0.666666667,5.5,3.666666667
18.66666667,18.66666667,11.2,1.666666667,1.666666667,1.666666667,0.6,1.0,1.0,0.333333333,0.666666667,0.4,2.333333333,1.4
22.0,22.0,8.8,2.5,3.0,2.5,0.4,1.0,1.0,1.0,0.5,0.2,2.5,1.0
19.5,19.5,13.0,1.5,1.5,1.5,0.333333333,0.5,1.0,0.5,2.0,1.333333333,3.0,2.0
23.33333333,23.33333333,7.0,3.333333333,4.333333333,3.333333333,0.6,2.0,1.0,1.0,0.666666667,0.2,2.666666667,0.8
23.33333333,17.5,10.0,2.333333333,2.0,1.75,0.428571429,0.75,1.333333333,0.5,1.0,0.571428571,1.5,0.857142857
15.5,15.5,15.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0
24.5,24.5,12.25,2.0,2.5,2.0,0.5,1.0,1.0,1.0,0.5,0.25,5.0,2.5
14.5,14.5,9.666666667,1.5,1.5,1.5,0.333333333,0.5,1.0,0.5,1.5,1.0,2.0,1.333333333
14.2,14.2,8.875,1.6,1.8,1.6,0.375,0.6,1.0,0.6,0.4,0.25,2.4,1.5
15.66666667,15.66666667,9.4,1.666666667,1.666666667,1.666666667,0.4,0.666666667,1.0,0.333333333,1.0,0.6,2.666666667,1.6
18.57142857,18.57142857,10.0,1.857142857,2.714285714,1.857142857,0.461538462,0.857142857,1.0,0.571428571,0.428571429,0.230769231,1.857142857,1.0
34.5,34.5,8.625,4.0,4.0,4.0,0.375,1.5,1.0,1.0,0.5,0.125,7.0,1.75
18.0,18.0,10.8,1.666666667,2.0,1.666666667,0.4,0.666666667,1.0,0.666666667,1.333333333,0.8,3.333333333,2.0
41.0,41.0,13.66666667,3.0,4.0,3.0,0.333333333,1.0,1.0,1.0,0.0,0.0,7.0,2.333333333
28.0,28.0,7.0,4.0,4.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,5.0,1.25
21.5,21.5,10.75,2.0,1.75,2.0,0.5,1.0,1.0,0.5,1.75,0.875,3.0,1.5
19.4,13.85714286,9.7,2.0,1.428571429,1.428571429,0.3,0.428571429,1.4,0.285714286,0.142857143,0.1,2.428571429,1.7
28.5,28.5,14.25,2.0,3.0,2.0,0.25,0.5,1.0,0.5,2.0,1.0,3.0,1.5
28.0,28.0,14.0,2.0,2.5,2.0,0.5,1.0,1.0,0.5,3.0,1.5,5.0,2.5
41.0,41.0,13.66666667,3.0,3.0,3.0,0.666666667,2.0,1.0,1.0,1.0,0.333333333,3.0,1.0
21.5,21.5,14.33333333,1.5,2.0,1.5,0.333333333,0.5,1.0,0.5,1.0,0.666666667,3.5,2.333333333
17.33333333,17.33333333,13.0,1.333333333,2.333333333,1.333333333,0.25,0.333333333,1.0,0.333333333,0.666666667,0.5,2.666666667,2.0
34.0,34.0,17.0,2.0,2.5,2.0,0.5,1.0,1.0,0.5,1.5,0.75,7.5,3.75
16.75,16.75,10.30769231,1.625,2.0,1.625,0.461538462,0.75,1.0,0.625,0.375,0.230769231,2.5,1.538461538
35.0,35.0,14.0,2.5,3.0,2.5,0.7,1.75,1.0,0.75,0.75,0.3,5.5,2.2
20.16666667,20.16666667,8.066666667,2.5,2.5,2.5,0.6,1.5,1.0,0.833333333,0.5,0.2,4.333333333,1.733333333
18.33333333,18.33333333,13.75,1.333333333,1.666666667,1.333333333,0.25,0.333333333,1.0,0.333333333,0.666666667,0.5,2.333333333,1.75
19.5,26.0,19.5,1.0,2.0,1.333333333,0.25,0.333333333,0.75,0.333333333,1.0,0.75,4.333333333,3.25
17.85714286,20.83333333,13.88888889,1.285714286,1.833333333,1.5,0.444444444,0.666666667,0.857142857,0.333333333,1.166666667,0.777777778,3.666666667,2.444444444
14.33333333,14.33333333,7.166666667,2.0,2.333333333,2.0,0.5,1.0,1.0,0.666666667,0.0,0.0,1.666666667,0.833333333
127.0,127.0,15.875,8.0,10.0,8.0,0.75,6.0,1.0,1.0,5.0,0.625,27.0,3.375
31.0,31.0,8.454545455,3.666666667,4.666666667,3.666666667,0.636363636,2.333333333,1.0,0.666666667,0.666666667,0.181818182,4.333333333,1.181818182
23.5,15.66666667,11.75,2.0,1.666666667,1.333333333,0.5,0.666666667,1.5,0.333333333,0.333333333,0.25,2.0,1.5
35.5,23.66666667,17.75,2.0,1.333333333,1.333333333,0.25,0.333333333,1.5,0.333333333,1.0,0.75,2.666666667,2.0
21.0,21.0,12.25,1.71428571429,2.14285714286,1.71428571429,0.333333333333,0.571428571429,1.0,0.428571428571,1.28571428571,0.75,3.0,1.75
17.375,17.375,13.9,1.25,1.75,1.25,0.2,0.25,1.0,0.25,0.875,0.7,2.25,1.8
18.5,18.5,12.3333333333,1.5,1.5,1.5,0.333333333333,0.5,1.0,0.5,2.0,1.33333333333,3.5,2.33333333333
23.1428571429,23.1428571429,18.0,1.28571428571,2.0,1.28571428571,0.222222222222,0.285714285714,1.0,0.285714285714,2.0,1.55555555556,4.0,3.11111111111
33.6,33.6,21.0,1.6,3.0,1.6,0.375,0.6,1.0,0.4,1.6,1.0,5.2,3.25
19.0,19.0,19.0,1.0,1.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
24.2,24.2,13.4444444444,1.8,2.2,1.8,0.444444444444,0.8,1.0,0.6,1.2,0.666666666667,4.4,2.44444444444
22.6666666667,22.6666666667,19.4285714286,1.16666666667,1.83333333333,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,2.16666666667,1.85714285714,3.5,3.0
22.75,22.75,22.75,1.0,1.875,1.0,0.0,0.0,1.0,0.0,1.75,1.75,4.125,4.125
20.7142857143,24.1666666667,20.7142857143,1.0,2.0,1.16666666667,0.142857142857,0.166666666667,0.857142857143,0.166666666667,1.16666666667,1.0,5.0,4.28571428571
32.8,32.8,23.4285714286,1.4,2.6,1.4,0.285714285714,0.4,1.0,0.4,2.6,1.85714285714,5.8,4.14285714286
11.35,12.6111111111,11.35,1.0,1.27777777778,1.11111111111,0.05,0.0555555555556,0.9,0.0555555555556,0.888888888889,0.8,2.05555555556,1.85
24.8,24.8,20.6666666667,1.2,1.8,1.2,0.166666666667,0.2,1.0,0.2,1.4,1.16666666667,4.4,3.66666666667
22.3333333333,22.3333333333,16.75,1.33333333333,2.33333333333,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.33333333333,1.0,3.5,2.625
29.75,29.75,23.8,1.25,1.25,1.25,0.2,0.25,1.0,0.25,1.75,1.4,4.75,3.8
24.6666666667,24.6666666667,21.1428571429,1.16666666667,2.16666666667,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.33333333333,1.14285714286,4.0,3.42857142857
21.8333333333,21.8333333333,16.375,1.33333333333,1.66666666667,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.5,1.125,3.66666666667,2.75
20.2,14.4285714286,16.8333333333,1.2,1.42857142857,0.857142857143,0.0,0.0,1.4,0.0,0.428571428571,0.5,2.57142857143,3.0
25.5,25.5,17.0,1.5,2.5,1.5,0.333333333333,0.5,1.0,0.5,1.66666666667,1.11111111111,4.5,3.0
17.6666666667,17.6666666667,15.1428571429,1.16666666667,1.5,1.16666666667,0.285714285714,0.333333333333,1.0,0.166666666667,0.666666666667,0.571428571429,4.0,3.42857142857
25.3333333333,25.3333333333,21.7142857143,1.16666666667,1.5,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.83333333333,1.57142857143,3.66666666667,3.14285714286
25.6666666667,25.6666666667,15.4,1.66666666667,2.0,1.66666666667,0.6,1.0,1.0,0.666666666667,2.0,1.2,4.0,2.4
19.8181818182,18.1666666667,14.5333333333,1.36363636364,1.66666666667,1.25,0.2,0.25,1.09090909091,0.333333333333,1.0,0.8,3.0,2.4
22.6,22.6,14.125,1.6,2.2,1.6,0.25,0.4,1.0,0.4,1.8,1.125,4.0,2.5
24.6,30.75,24.6,1.0,2.0,1.25,0.2,0.25,0.8,0.25,2.5,2.0,5.25,4.2
25.375,25.375,29.0,0.875,1.75,0.875,0.142857142857,0.125,1.0,0.125,1.875,2.14285714286,4.5,5.14285714286
28.0,28.0,33.6,0.833333333333,1.5,0.833333333333,0.0,0.0,1.0,0.0,2.0,2.4,4.33333333333,5.2
22.8571428571,22.8571428571,17.7777777778,1.28571428571,2.28571428571,1.28571428571,0.222222222222,0.285714285714,1.0,0.285714285714,1.28571428571,1.0,3.57142857143,2.77777777778
21.8333333333,21.8333333333,21.8333333333,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.16666666667,1.16666666667,3.83333333333,3.83333333333
25.4,25.4,18.1428571429,1.4,1.8,1.4,0.285714285714,0.4,1.0,0.2,1.8,1.28571428571,3.8,2.71428571429
18.5,18.5,18.5,1.0,1.5,1.0,0.0,0.0,1.0,0.0,0.833333333333,0.833333333333,3.83333333333,3.83333333333
14.5,14.5,17.4,0.833333333333,1.5,0.833333333333,0.0,0.0,1.0,0.0,0.5,0.6,2.16666666667,2.6
32.4,32.4,16.2,2.0,2.2,2.0,0.5,1.0,1.0,1.0,2.2,1.1,5.4,2.7
22.0,22.0,18.8571428571,1.16666666667,1.83333333333,1.16666666667,0.142857142857,0.166666666667,1.0,0.166666666667,1.16666666667,1.0,3.33333333333,2.85714285714
24.8571428571,21.75,14.5,1.71428571429,1.75,1.5,0.416666666667,0.625,1.14285714286,0.75,1.5,1.0,3.875,2.58333333333
17.5,17.5,15.5555555556,1.125,1.375,1.125,0.111111111111,0.125,1.0,0.125,1.0,0.888888888889,3.25,2.88888888889
35.5,35.5,35.5,1.0,2.5,1.0,0.0,0.0,1.0,0.0,2.0,2.0,7.5,7.5
24.8,24.8,13.7777777778,1.8,3.0,1.8,0.333333333333,0.6,1.0,0.6,0.8,0.444444444444,4.6,2.55555555556
25.5714285714,25.5714285714,16.2727272727,1.57142857143,2.42857142857,1.57142857143,0.363636363636,0.571428571429,1.0,0.428571428571,1.85714285714,1.18181818182,4.0,2.54545454545
24.5,24.5,24.5,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,4.0,4.0
26.0,26.0,17.3333333333,1.5,2.16666666667,1.5,0.333333333333,0.5,1.0,0.333333333333,1.16666666667,0.777777777778,4.16666666667,2.77777777778
21.125,18.7777777778,12.0714285714,1.75,2.11111111111,1.55555555556,0.285714285714,0.444444444444,1.125,0.333333333333,1.33333333333,0.857142857143,2.66666666667,1.71428571429
26.4285714286,26.4285714286,23.125,1.14285714286,2.0,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.85714285714,1.625,5.28571428571,4.625
29.4,29.4,21.0,1.4,2.6,1.4,0.285714285714,0.4,1.0,0.4,2.0,1.42857142857,5.0,3.57142857143
16.1666666667,16.1666666667,16.1666666667,1.0,1.83333333333,1.0,0.0,0.0,1.0,0.0,0.833333333333,0.833333333333,3.0,3.0
25.5,25.5,25.5,1.0,1.5,1.0,0.0,0.0,1.0,0.0,1.75,1.75,4.75,4.75
23.0,23.0,23.0,1.0,2.2,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.6,3.6
23.5,15.6666666667,13.4285714286,1.75,1.33333333333,1.16666666667,0.285714285714,0.333333333333,1.5,0.166666666667,0.333333333333,0.285714285714,2.5,2.14285714286
26.2857142857,26.2857142857,23.0,1.14285714286,2.14285714286,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.57142857143,1.375,4.14285714286,3.625
20.25,20.25,16.2,1.25,2.0,1.25,0.2,0.25,1.0,0.25,1.25,1.0,3.0,2.4
20.0,20.0,15.0,1.33333333333,1.33333333333,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.0,0.75,3.66666666667,2.75
24.5714285714,21.5,15.6363636364,1.57142857143,1.5,1.375,0.272727272727,0.375,1.14285714286,0.375,1.25,0.909090909091,3.75,2.72727272727
18.4,18.4,18.4,1.0,2.0,1.0,0.2,0.2,1.0,0.2,0.8,0.8,3.2,3.2
18.8,18.8,15.6666666667,1.2,1.4,1.2,0.166666666667,0.2,1.0,0.2,1.0,0.833333333333,3.6,3.0
27.4,27.4,19.5714285714,1.4,2.2,1.4,0.285714285714,0.4,1.0,0.4,1.2,0.857142857143,5.0,3.57142857143
