MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
23.8571428571,20.875,16.7,1.42857142857,1.75,1.25,0.2,0.25,1.14285714286,0.25,1.375,1.1,3.125,2.5
18.5,15.8571428571,15.8571428571,1.16666666667,1.42857142857,1.0,0.142857142857,0.142857142857,1.16666666667,0.142857142857,0.571428571429,0.571428571429,2.71428571429,2.71428571429
26.0,26.0,15.6,1.66666666667,2.33333333333,1.66666666667,0.5,0.833333333333,1.0,0.666666666667,1.66666666667,1.0,4.5,2.7
19.6,19.6,12.25,1.6,1.8,1.6,0.375,0.6,1.0,0.6,1.0,0.625,3.4,2.125
26.4285714286,30.8333333333,26.4285714286,1.0,2.0,1.16666666667,0.142857142857,0.166666666667,0.857142857143,0.166666666667,1.16666666667,1.0,5.5,4.71428571429
16.75,22.3333333333,22.3333333333,0.75,1.66666666667,1.0,0.0,0.0,0.75,0.0,1.0,1.0,3.33333333333,3.33333333333
22.8333333333,22.8333333333,17.125,1.33333333333,2.33333333333,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.33333333333,1.0,4.83333333333,3.625
17.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
17.2857142857,17.2857142857,17.2857142857,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
29.0,29.0,19.3333333333,1.5,1.5,1.5,0.333333333333,0.5,1.0,0.5,1.5,1.0,5.5,3.66666666667
17.0,17.0,10.2,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.333333333333,1.0,0.6,2.33333333333,1.4
13.5,18.0,10.8,1.25,2.33333333333,1.66666666667,0.2,0.333333333333,0.75,0.333333333333,0.666666666667,0.4,3.0,1.8
23.1428571429,23.1428571429,13.5,1.71428571429,2.0,1.71428571429,0.416666666667,0.714285714286,1.0,0.714285714286,1.57142857143,0.916666666667,3.42857142857,2.0
25.1666666667,25.1666666667,18.875,1.33333333333,2.0,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.33333333333,1.0,4.0,3.0
20.0,16.6666666667,12.5,1.6,1.5,1.33333333333,0.25,0.333333333333,1.2,0.333333333333,1.16666666667,0.875,3.16666666667,2.375
28.5714285714,28.5714285714,20.0,1.42857142857,2.14285714286,1.42857142857,0.1,0.142857142857,1.0,0.142857142857,2.0,1.4,5.0,3.5
23.6666666667,23.6666666667,17.75,1.33333333333,2.5,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.66666666667,1.25,2.83333333333,2.125
21.7142857143,16.8888888889,15.2,1.42857142857,1.66666666667,1.11111111111,0.1,0.111111111111,1.28571428571,0.222222222222,1.11111111111,1.0,2.77777777778,2.5
20.2,20.2,14.4285714286,1.4,2.6,1.4,0.285714285714,0.4,1.0,0.4,1.0,0.714285714286,3.2,2.28571428571
16.8333333333,12.625,7.76923076923,2.16666666667,1.75,1.625,0.384615384615,0.625,1.33333333333,0.625,0.5,0.307692307692,2.0,1.23076923077
31.4285714286,31.4285714286,20.0,1.57142857143,2.57142857143,1.57142857143,0.454545454545,0.714285714286,1.0,0.571428571429,2.42857142857,1.54545454545,5.0,3.18181818182
16.8461538462,14.6,11.5263157895,1.46153846154,1.73333333333,1.26666666667,0.263157894737,0.333333333333,1.15384615385,0.266666666667,0.266666666667,0.210526315789,1.66666666667,1.31578947368
23.1428571429,23.1428571429,18.0,1.28571428571,2.28571428571,1.28571428571,0.222222222222,0.285714285714,1.0,0.285714285714,1.28571428571,1.0,3.14285714286,2.44444444444
20.4285714286,20.4285714286,17.875,1.14285714286,1.71428571429,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.14285714286,1.0,3.28571428571,2.875
21.125,21.125,18.7777777778,1.125,1.875,1.125,0.111111111111,0.125,1.0,0.125,0.875,0.777777777778,3.75,3.33333333333
25.5714285714,25.5714285714,25.5714285714,1.0,2.42857142857,1.0,0.142857142857,0.142857142857,1.0,0.142857142857,1.71428571429,1.71428571429,4.28571428571,4.28571428571
21.0,21.0,13.3636363636,1.57142857143,1.71428571429,1.57142857143,0.363636363636,0.571428571429,1.0,0.428571428571,0.571428571429,0.363636363636,3.28571428571,2.09090909091
22.8,22.8,22.8,1.0,1.8,1.0,0.2,0.2,1.0,0.2,1.4,1.4,4.2,4.2
18.6666666667,16.0,12.4444444444,1.5,2.0,1.28571428571,0.0,0.0,1.16666666667,0.0,0.714285714286,0.555555555556,1.71428571429,1.33333333333
24.875,24.875,16.5833333333,1.5,2.0,1.5,0.333333333333,0.5,1.0,0.375,1.125,0.75,3.875,2.58333333333
21.75,21.75,17.4,1.25,1.75,1.25,0.4,0.5,1.0,0.25,1.5,1.2,4.0,3.2
24.8,24.8,20.6666666667,1.2,2.6,1.2,0.166666666667,0.2,1.0,0.2,1.2,1.0,3.4,2.83333333333
23.0,23.0,23.0,1.0,2.42857142857,1.0,0.0,0.0,1.0,0.0,1.57142857143,1.57142857143,3.28571428571,3.28571428571
22.1666666667,22.1666666667,16.625,1.33333333333,2.66666666667,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,1.5,1.125,4.0,3.0
19.3333333333,19.3333333333,29.0,0.666666666667,2.0,0.666666666667,0.0,0.0,1.0,0.0,1.33333333333,2.0,3.33333333333,5.0
26.0,26.0,30.3333333333,0.857142857143,2.57142857143,0.857142857143,0.0,0.0,1.0,0.0,1.85714285714,2.16666666667,4.14285714286,4.83333333333
21.5714285714,21.5714285714,16.7777777778,1.28571428571,3.42857142857,1.28571428571,0.333333333333,0.428571428571,1.0,0.285714285714,0.714285714286,0.555555555556,3.57142857143,2.77777777778
36.8333333333,36.8333333333,27.625,1.33333333333,2.5,1.33333333333,0.125,0.166666666667,1.0,0.166666666667,1.33333333333,1.0,5.83333333333,4.375
18.2857142857,18.2857142857,16.0,1.14285714286,2.28571428571,1.14285714286,0.125,0.142857142857,1.0,0.142857142857,1.0,0.875,2.42857142857,2.125
18.8333333333,22.6,16.1428571429,1.16666666667,1.6,1.4,0.285714285714,0.4,0.833333333333,0.4,0.8,0.571428571429,3.8,2.71428571429
25.5,25.5,12.75,2.0,3.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,4.5,2.25
24.8333333333,24.8333333333,16.5555555556,1.5,1.5,1.5,0.333333333333,0.5,1.0,0.5,1.66666666667,1.11111111111,4.33333333333,2.88888888889
25.25,25.25,20.2,1.25,2.75,1.25,0.2,0.25,1.0,0.25,1.25,1.0,5.75,4.6
29.6,29.6,24.6666666667,1.2,2.6,1.2,0.166666666667,0.2,1.0,0.2,1.4,1.16666666667,5.2,4.33333333333
26.8,26.8,19.1428571429,1.4,2.4,1.4,0.285714285714,0.4,1.0,0.4,1.6,1.14285714286,3.8,2.71428571429
12.0,12.0,10.5,1.14285714286,1.14285714286,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.71428571429,1.5
15.3333333333,15.3333333333,7.66666666667,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.333333333333,0.166666666667,2.66666666667,1.33333333333
11.2,11.2,8.0,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.6,0.428571428571,2.2,1.57142857143
18.0,18.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
17.3333333333,17.3333333333,11.5555555556,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.33333333333,0.888888888889,2.66666666667,1.77777777778
20.0,20.0,20.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
23.0,23.0,11.5,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,2.0
17.5,17.5,17.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
20.3333333333,17.4285714286,12.2,1.66666666667,1.57142857143,1.42857142857,0.4,0.571428571429,1.16666666667,0.428571428571,0.428571428571,0.3,3.42857142857,2.4
12.1428571429,12.1428571429,9.44444444444,1.28571428571,1.28571428571,1.28571428571,0.111111111111,0.142857142857,1.0,0.142857142857,0.571428571429,0.444444444444,1.71428571429,1.33333333333
17.0,17.0,8.5,2.0,2.33333333333,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,3.0,1.5
12.2,12.2,8.71428571429,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
18.0,18.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
17.5,17.5,11.6666666667,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.33333333333,0.888888888889,2.66666666667,1.77777777778
20.0,20.0,20.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
24.0,24.0,12.0,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.5,2.25
17.5,17.5,17.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,3.0,3.0
21.0,21.0,11.4545454545,1.83333333333,1.83333333333,1.83333333333,0.454545454545,0.833333333333,1.0,0.5,0.666666666667,0.363636363636,3.83333333333,2.09090909091
12.2857142857,12.2857142857,10.75,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,2.0,1.75
16.3333333333,16.3333333333,8.16666666667,2.0,2.33333333333,2.0,0.5,1.0,1.0,0.666666666667,0.333333333333,0.166666666667,3.0,1.5
12.0,12.0,8.57142857143,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.4,1.71428571429
18.0,18.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
17.8333333333,17.8333333333,11.8888888889,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.33333333333,0.888888888889,2.83333333333,1.88888888889
20.5,20.5,20.5,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
23.5,23.5,11.75,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.5,2.25
17.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
19.5,19.5,11.7,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,4.0,2.4
12.7142857143,12.7142857143,11.125,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.57142857143,1.375
17.3333333333,17.3333333333,8.66666666667,2.0,2.33333333333,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,3.66666666667,1.83333333333
10.2,10.2,7.28571428571,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.0,1.42857142857
21.5,21.5,14.3333333333,1.5,1.5,1.5,0.0,0.0,1.0,0.0,1.0,0.666666666667,3.5,2.33333333333
18.8333333333,16.1428571429,11.3,1.66666666667,1.57142857143,1.42857142857,0.3,0.428571428571,1.16666666667,0.428571428571,1.0,0.7,2.28571428571,1.6
22.0,22.0,22.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
23.5,23.5,11.75,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.5,2.25
16.5,16.5,16.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
19.4285714286,19.4285714286,11.3333333333,1.71428571429,1.71428571429,1.71428571429,0.333333333333,0.571428571429,1.0,0.428571428571,0.428571428571,0.25,3.28571428571,1.91666666667
11.7142857143,11.7142857143,10.25,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,1.42857142857,1.25
15.3333333333,15.3333333333,7.66666666667,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,2.33333333333,1.16666666667
12.4,12.4,8.85714285714,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
21.5,21.5,21.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
19.8333333333,19.8333333333,13.2222222222,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.33333333333,0.888888888889,3.0,2.0
21.5,21.5,21.5,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
23.5,23.5,11.75,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,2.0
17.5,17.5,17.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
20.6666666667,20.6666666667,12.4,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
12.0,12.0,10.5,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,2.0,1.75
15.6666666667,15.6666666667,7.83333333333,2.0,2.33333333333,2.0,0.5,1.0,1.0,0.666666666667,0.333333333333,0.166666666667,2.33333333333,1.16666666667
11.4,11.4,8.14285714286,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
18.0,18.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
19.0,19.0,12.6666666667,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.5,1.0,3.0,2.0
11.4285714286,11.4285714286,10.0,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,1.71428571429,1.5
16.3333333333,16.3333333333,8.16666666667,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,3.0,1.5
11.0,11.0,7.85714285714,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
17.5,17.5,17.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
17.8333333333,17.8333333333,11.8888888889,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.16666666667,0.777777777778,2.5,1.66666666667
18.5,18.5,18.5,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.5
21.0,21.0,10.5,2.0,2.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,5.0,2.5
17.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
19.1666666667,19.1666666667,11.5,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.66666666667,2.2
11.8571428571,11.8571428571,10.375,1.14285714286,1.14285714286,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.57142857143,1.375
16.0,16.0,8.0,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,2.66666666667,1.33333333333
12.4,12.4,8.85714285714,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.4,1.71428571429
20.0,20.0,20.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
18.0,18.0,12.0,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.0,0.666666666667,2.66666666667,1.77777777778
19.0,19.0,19.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
21.0,21.0,10.5,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,3.0,1.5
15.0,15.0,15.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
20.1666666667,20.1666666667,12.1,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
15.7142857143,15.7142857143,13.75,1.14285714286,1.42857142857,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,2.14285714286,1.875
18.3333333333,18.3333333333,9.16666666667,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,1.0,0.5,3.33333333333,1.66666666667
12.0,12.0,8.57142857143,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.0,1.42857142857
18.5,18.5,18.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
18.5,18.5,12.3333333333,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.0,0.666666666667,3.16666666667,2.11111111111
19.5,19.5,19.5,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
23.5,23.5,11.75,2.0,3.0,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,2.0
16.5,16.5,16.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
19.5,19.5,11.7,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
11.8571428571,11.8571428571,10.375,1.14285714286,1.14285714286,1.14285714286,0.0,0.0,1.0,0.0,0.428571428571,0.375,1.85714285714,1.625
14.6666666667,14.6666666667,7.33333333333,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.333333333333,0.166666666667,2.33333333333,1.16666666667
12.2,12.2,8.71428571429,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
20.5,20.5,20.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
18.0,18.0,12.0,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.0,0.666666666667,3.0,2.0
19.0,19.0,19.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
21.0,21.0,10.5,2.0,2.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.5,2.25
16.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
20.0,20.0,12.0,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.83333333333,2.3
11.4285714286,11.4285714286,10.0,1.14285714286,1.14285714286,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.57142857143,1.375
15.0,15.0,7.5,2.0,2.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,2.33333333333,1.16666666667
11.6,11.6,8.28571428571,1.4,1.8,1.4,0.285714285714,0.4,1.0,0.2,0.4,0.285714285714,2.2,1.57142857143
19.5,9.75,19.5,1.0,0.5,0.5,0.0,0.0,2.0,0.0,0.25,0.5,2.0,4.0
18.0,18.0,12.0,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.16666666667,0.777777777778,2.66666666667,1.77777777778
20.0,20.0,20.0,1.0,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,2.5
20.5,20.5,10.25,2.0,2.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,2.0
17.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,3.5
18.6666666667,18.6666666667,11.2,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.5,0.666666666667,0.4,3.66666666667,2.2
11.8571428571,11.8571428571,10.375,1.14285714286,1.28571428571,1.14285714286,0.0,0.0,1.0,0.0,0.571428571429,0.5,1.57142857143,1.375
16.0,16.0,8.0,2.0,3.0,2.0,0.5,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,2.66666666667,1.33333333333
12.2,12.2,8.71428571429,1.4,1.6,1.4,0.285714285714,0.4,1.0,0.2,0.2,0.142857142857,2.2,1.57142857143
19.0,19.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
17.1666666667,17.1666666667,11.4444444444,1.5,1.66666666667,1.5,0.333333333333,0.5,1.0,0.5,1.33333333333,0.888888888889,2.83333333333,1.88888888889
